0,1,2,3,4,5,6,7,8,9
0.98498094,0.0075083333,0.042550087,3.659453,0.0017098153,0.008189738,6.9673777,2.713698,2.3814907,0.30397132
0.2828943,0.0,1.9320865,6.5773606,0.0,0.003457545,6.3341665,2.244174,3.6558354,0.03575203
0.4731044,0.0,1.1381364,7.060607,0.0,0.007576334,7.758299,2.9234033,3.3221023,0.27342862
0.81374645,0.003654796,0.21937938,7.466828,0.0,0.002490662,7.1090593,3.3073404,2.1743374,0.0
0.6419174,0.0,0.1571307,4.6656513,0.0,0.008945394,5.6549354,2.430222,3.1158347,1.2973725
0.3689656,0.0,0.2215938,5.1704493,0.010156176,0.008471743,3.5138154,2.0533018,2.383168,0.34460008
3.1523702,0.00052624964,0.269045,7.4651055,0.0006818429,0.004659725,6.865209,0.97448844,3.4033859,1.3777837
0.6336769,0.0,0.088105135,4.926766,0.0,0.001448942,6.6742673,2.830951,3.1847508,0.90676075
0.014087282,0.0,0.07145658,3.9862037,0.04303227,0.010837216,7.7141933,1.7609879,3.278385,1.178964
1.2670834,0.0,0.75668293,7.105454,0.0,0.011055698,2.313723,2.0598023,3.6457317,0.0
1.3873183,0.0021868018,0.59293723,1.3648335,0.0,0.002371447,5.641386,1.9186759,3.2189434,0.23791933
0.27293882,0.0,0.0,4.633253,0.101929106,0.006216979,6.1612144,2.581758,2.685475,0.073602535
1.1508554,0.0,0.76809055,5.9713454,0.0,0.005865103,6.7584085,1.71154,2.9685771,0.0
0.9904625,0.0,0.0,2.40505,0.0,0.011294647,4.343962,1.7826942,1.8913953,0.100396976
0.20225051,0.005011009,0.15269457,7.8899965,0.0,0.006548607,6.6499524,2.9385405,3.7221813,1.3102016
0.14987814,0.0,1.382013,5.22888,0.0,0.004652937,4.172548,0.09070458,3.0938575,2.4250188
0.51702285,0.0,1.0581938,0.9307751,0.0,0.001213352,3.079785,1.3856974,1.9517591,2.7512925
1.8636978,0.0044036726,1.9320865,6.7913275,0.0,0.011250951,5.8365808,2.7241771,3.4680305,0.16877267
0.007163465,0.0,0.05562332,4.1306868,0.0,0.005675343,3.3855727,3.3921397,2.1229787,0.0
1.7281407,0.004128855,0.7337228,5.137999,0.0,0.010251723,5.282885,1.5935167,2.2853992,0.12554505
0.5736257,0.0,0.09288074,4.902783,0.0,0.009969445,5.443368,2.1278577,2.1438835,0.14412165
1.3371123,0.0006833537,0.07040641,6.2673635,0.0,0.011361459,4.161823,2.0703385,2.4712734,0.12696566
1.5286613,0.0,0.52954733,4.513662,0.0020996467,0.010445138,6.0057383,2.8602796,3.0087857,1.0338349
0.007163465,0.0,0.4317305,3.0101154,0.0,0.005518582,4.6866264,2.1261013,3.3951337,0.0
0.36525738,0.0,0.15798514,5.2309303,0.0,0.008147694,5.3340306,0.0,3.6093278,1.1975615
2.369565,0.0,1.6850272,5.135389,0.0,0.012424021,3.360134,1.8160007,2.8045797,0.0
1.4483488,0.12308492,0.06949997,2.974371,0.0,0.008546647,5.83629,3.0835638,2.3938174,0.073483914
2.019632,0.006344546,1.0071867,6.8245587,0.0,0.007453377,2.9761975,2.1878078,1.9407098,0.10054067
0.60037094,0.0,0.61084986,6.729794,0.1723161,0.007221072,5.6725225,3.438782,2.1219046,0.65748686
0.30864558,0.0,0.0,7.686482,0.0,0.004189984,7.2866116,1.7679944,2.7210493,0.77830356
0.007163465,0.0,0.278419,4.172539,0.0,0.010192508,4.4166946,1.6214283,3.2891598,0.17328696
0.47399426,0.000612398,0.6255203,5.528569,0.0,0.014379831,4.728413,1.6872798,1.9255642,0.0
1.9996158,0.002123822,0.0,6.381297,0.0,0.007606252,8.326032,3.2514899,2.514305,0.0
1.376882,0.0048976284,0.52886456,3.6730626,0.08688669,0.00515644,5.0253596,1.7564063,2.49069,0.44813755
1.9350692,0.0,0.19369303,7.8899965,0.0,0.003565944,5.2578583,4.6905336,2.2424996,0.26521748
2.2248478,0.0,0.25382173,6.542803,0.09198005,0.004817919,7.705657,4.423348,1.6796576,0.2910912
0.6544983,0.0,0.11434748,3.146609,0.0,0.010624146,8.090416,2.0059943,3.3180096,0.12587574
2.6239738,0.00014450391,0.21307334,7.8899965,0.0,0.005387243,5.0708747,2.2572546,3.7764764,0.0
1.3451879,0.0,0.69946986,4.5317435,0.0,0.0,7.0239835,3.0425975,2.930466,0.23797101
0.11462658,0.0032567864,0.3829373,5.945892,0.07908077,0.003547616,7.1683855,2.0242178,2.3131516,0.50128925
2.4635212,0.0,0.50890446,2.0299532,0.0015115225,0.006429525,5.207481,2.710523,3.2090404,0.39718318
